Country;Waypoint;Latitude;Longitude;;;;;;;;;;;
Belgium;BBL24;51,209158;5,552413889;;;;;;;;;;;
Belgium;BBL25;51,344700;4,864205556;;;;;;;;;;;
Belgium;BBL26;51,180003;5,487880556;;;;;;;;;;;
Belgium;BBL34;51,151894;5,364608333;;;;;;;;;;;
Belgium;BBL35;51,154197;5,377325;;;;;;;;;;;
Belgium;BBL37;51,160547;5,444905556;;;;;;;;;;;
Belgium;BBL40;51,209817;5,551636111;;;;;;;;;;;
Belgium;BBL43;51,109381;5,376188889;;;;;;;;;;;
Belgium;BBL44;51,182431;5,484488889;;;;;;;;;;;
Belgium;BBL46;51,109169;5,248938889;;;;;;;;;;;
Belgium;BBL52;51,201681;5,528177778;;;;;;;;;;;
Belgium;BBL60;51,230633;5,593061111;;;;;;;;;;;
