Country;Airport;District;Site;Lat;Long;elevation ft;reports;;;;;;;;;
France;LFOI;HD;Abbeville (AUT);50,136;1,834;233;;;;;;;;;;
France;LFOJ;CV;Orleans/Bricy(AFB);47,985;1,754;400;METAR, TAF;;;;;;;;;
France;LFOK;GE;Châlons-Vatry Arpt;48,777;4,165;545;METAR, TAF;;;;;;;;;
France;LFOP;NO;Rouen/Boos Arpt;49,383;1,182;489;METAR, TAF;;;;;;;;;
France;LFOQ;CV;Blois-Le Breuil Aprt;47,678;1,209;397;;;;;;;;;;
France;LFOR;CV;Chartres/Champol Arpt;48,46;1,501;502;;;;;;;;;;
France;LFOS;NO;Vittefleur/St Vale;49,836;0,655;266;;;;;;;;;;
France;LFOT;CV;Tours/Val de Loire Arpt;47,444;0,728;351;METAR, TAF;;;;;;;;;
France;LFOV;PD;Laval/Entrammes Arpt;48,031;-0,746;325;;;;;;;;;;
France;LFOW;HD;St Quentin/Roupy Arpt;49,818;3,206;318;;;;;;;;;;
France;LFOZ;;Orléans/St-Denis Arpt;47,897;2,163;397;;;;;;;;;;
France;LFPB;ID;Paris/Le Bourge Arpt;48,967;2,428;164;METAR, TAF;;;;;;;;;
France;LFPC;HD;Creil(AFB);49,252;2,521;272;METAR, TAF;;;;;;;;;
France;LFPG;ID;Paris/De Gaulle Arpt;49,015;2,534;351;METAR, TAF;;;;;;;;;
France;LFPM;ID;Melun/Villaroche Arpt;48,611;2,68;299;METAR, TAF;;;;;;;;;
France;LFPN;NO;Toussus le Noble Arpt;48,752;2,114;499;METAR, TAF;;;;;;;;;
France;LFPO;ID;Paris/Orly Fld;48,717;2,384;289;METAR, TAF;;;;;;;;;
France;LFPT;ID;Pontoise-Cormeilles;49,097;2,041;299;;;;;;;;;;
France;LFPV;ID;Villacoublay(AB);48,77;2,205;561;METAR, TAF;;;;;;;;;
France;LFPW;;Paris Met Cente;48,83;2,33;246;;;;;;;;;;
France;LFPY;;Bretigny Sur Or;48,6;2,33;269;;;;;;;;;;
France;LFQA;GE;Reims/Prunay Aprt;49,21;4,155;302;;;;;;;;;;
France;LFQB;GE;Troyes/Barberey Arpt;48,325;4,02;351;METAR, TAF;;;;;;;;;
France;LFQG;BF;Nevers/Fourchambault;46,998;3,113;564;;;;;;;;;;
France;LFQH;BF;Chatillon-Sur-Seine;47,849;4,58;869;;;;;;;;;;
France;LFQI;HD;Cambrai/Épinoy(AB);50,218;3,153;249;METAR, TAF;;;;;;;;;
France;LFQQ;HD;Lille/Lesquin Arpt;50,562;3,089;141;METAR, TAF;;;;;;;;;
France;LFQV;GE;Charleville/Meziere;49,783;4,643;479;;;;;;;;;;
France;LFRA;PD;Angers/Avrille(AUT);47,479;-0,614;157;;;;;;;;;;
France;LFRB;BR;Brest/Guipavas Arpt;48,444;-4,412;299;METAR, TAF;;;;;;;;;
France;LFRC;NO;Cherbourg/Manche Arpt;49,65;-1,47;449;METAR, TAF;;;;;;;;;
France;LFRD;BR;Dinard/Pleurtuit Arpt;48,589;-2,075;184;METAR, TAF;;;;;;;;;
France;LFRG;NO;Deauville/Saint Gati;49,365;0,154;479;METAR, TAF;;;;;;;;;
France;LFRH;BR;Lorient/Bihoue Arpt;47,761;-3,44;151;METAR, TAF;;;;;;;;;
France;LFRI;PD;La Roche/Les Ajoncs;46,702;-1,379;292;METAR, TAF;;;;;;;;;
France;LFRJ;BR;Landivisiau(AB);48,527;-4,138;358;METAR, TAF;;;;;;;;;
France;LFRK;NO;Caen/Carpiquet Arpt;49,18;-0,456;217;METAR, TAF;;;;;;;;;
France;LFRL;BR;Lanveoc/Poulmic Arpt;48,279;-4,439;262;METAR, TAF;;;;;;;;;
France;LFRM;PD;Le Mans/Arnage Arpt;47,949;0,202;167;METAR, TAF;;;;;;;;;
France;LFRN;BR;Rennes/St Jacques Arpt;48,069;-1,734;115;METAR, TAF;;;;;;;;;
France;LFRO;BR;Lannion/Servel Arpt;48,755;-3,469;282;METAR, TAF;;;;;;;;;
France;LFRQ;BR;Quimper/Pluguffan Arpt;47,975;-4,168;308;METAR, TAF;;;;;;;;;
